,El grand cavalcodos,0,Bunuel; Year is not defined
,,1947,Dassin; Title is not defined
,Catherine of Russia,0,W.Staudte; Year is not defined
,,1949,W.Jackson; Title is not defined
,Morgan Stewart's Coming Home,0,Alan~Smithee; Year is not defined
,Raging Angels,0,Alan~Smithee; Year is not defined
,,1999,Pollock; Title is not defined
,,1954,G.Reinhardt; Title is not defined
,,1954,G.Reinhardt; Title is not defined
,Stop Train 349,0,Haedrich ; Year is not defined
,Karate Kid,0,J.G.Avildsen; Year is not defined
,The Eternal City,0,Scorsese; Year is not defined
,Gangs of New York,0,Scorsese; Year is not defined
,Buena Vista Social Club,0,Wenders; Year is not defined
,Mulholland Drive,0,D.Lynch; Year is not defined
,Sarabande,0,Egoyan; Year is not defined
,,1988,Silberling; Title is not defined
,Fairy Tale: A True Story,0,Sturridge; Year is not defined
,,0,Dowling; Year is not defined
,Jerry and Tom,0,diCillo; Year is not defined
,The Shanghai Triad,0,UnYear95; Year is not defined
,Taste of Cherry,0,Kiarostami; Year is not defined
,The Matchmaker,0,M.Joffe; Year is not defined
,All is Routine,0,M.Judge; Year is not defined
,Show Me Love,1999,; Director is not defined
,Together,2001,; Director is not defined
,In the Bedroom,2001,; Director is not defined
,Never Never,2002,; Director is not defined
,Monster's Ball,2002,; Director is not defined
,Brooke Adams,1949; Duplicate star
,Mario Adorf,1930; Duplicate star
,Rati Agnihotri,1960; Duplicate star
,Edward Albert,1951; Duplicate star
,Alan Alda,1936; Duplicate star
,John Alderton,1940; Duplicate star
,Woody Allen,1935; Duplicate star
,Richard Anderson,1926; Duplicate star
,Ursula Andress,1936; Duplicate star
,Fanny Ardant,1949; Duplicate star
,Alan Arkin,1934; Duplicate star
,Lucie Arnaz,1951; Duplicate star
,Elizabeth Ashley,1939; Duplicate star
,Fred Astaire,1899; Duplicate star
,William Atherton,1947; Duplicate star
,Christopher Atkins,1961; Duplicate star
,Richard Attenborough,1923; Duplicate star
,Charles Aznavour,1924; Duplicate star
,Hank Azaria,1964; Duplicate star
,Amitabh Bachchan,1942; Duplicate star
,Josephine Baker,1906; Duplicate star
,Jill Balcon,1925; Duplicate star
,William Baldwin,1963; Duplicate star
,Anne Bancroft,1931; Duplicate star
,Antonio Banderas,1960; Duplicate star
,Ellen Barkin,1954; Duplicate star
,Kim Basinger,1953; Duplicate star
,Angela Bassett,1958; Duplicate star
,Ned Beatty,1937; Duplicate star
,Warren Beatty,1937; Duplicate star
,John Beck,1943; Duplicate star
,Harry Belafonte,1927; Duplicate star
,Tom Bell,1933; Duplicate star
,Dirk Benedict,1945; Duplicate star
,Hywel Bennett,1944; Duplicate star
,Candice Bergen,1946; Duplicate star
,Pat Boone,1934; Duplicate star
,John Boorman,1933; Duplicate star
,Tom Bosley,1927; Duplicate star
,David Bowie,1947; Duplicate star
,Bruce Boxleitner,1950; Duplicate star
,Kenneth Branagh,1960; Duplicate star
,Marlon Brando,1924; Duplicate star
,Claude Brasseur,1936; Duplicate star
,Beau Bridges,1941; Duplicate star
,Jeff Bridges,1949; Duplicate star
,James Brolin,1940; Duplicate star
,Albert Brooks,1947; Duplicate star
,Mel Brooks,1926; Duplicate star
,Gary Brown,; Duplicate star
,Jim Brown,1936; Duplicate star
,Peter Brown,; Duplicate star
,Carol Burnett,1933; Duplicate star
,Ellen Burstyn,1932; Duplicate star
,Gary Busey,1944; Duplicate star
,Robert Butler,; Duplicate star
,William Butler,; Duplicate star
,Nicolas Cage,1964; Duplicate star
,Michael Caine,1933; Duplicate star
,Helena Bonham Carter,1966; Duplicate star
,Veronica Cartwright,1949; Duplicate star
,Johnny Cash,1932; Duplicate star
,Seymour Cassel,1935; Duplicate star
,Phoebe Cates,1963; Duplicate star
,Adolfo Celi,1922; Duplicate star
,Stockard Channing,1944; Duplicate star
,Geraldine Chaplin,1944; Duplicate star
,Sydney Chaplin,1926; Duplicate star
,Cher,1946; Duplicate star
,Thomas Chong,; Duplicate star
,Julie Christie,1940; Duplicate star
,John Cleese,1939; Duplicate star
,Glenn Close,1947; Duplicate star
,Jennifer Cluff,; Duplicate star
,James Coburn,1928; Duplicate star
,Jeff Conaway,1950; Duplicate star
,Robert Conrad,1935; Duplicate star
,Ron Cook,; Duplicate star
,Francis Ford Coppola,1939; Duplicate star
,Roger Corman,1926; Duplicate star
,Kevin Costner,1955; Duplicate star
,Clotilde Courau,1969; Duplicate star
,Tom Courtenay,1937; Duplicate star
,Ronny Cox,1938; Duplicate star
,Billy Crystal,1948; Duplicate star
,Kieran Culkin,1982; Duplicate star
,Robert Culp,1930; Duplicate star
,Tim Curry,1946; Duplicate star
,Jamie Lee Curtis,1958; Duplicate star
,Roger Daltrey,1944; Duplicate star
,Kim Darby,1947; Duplicate star
,James Darren,1936; Duplicate star
,Danielle Darrieux,1917; Duplicate star
,Ossie Davis,1917; Duplicate star
,Julie Delpy,1969; Duplicate star
,Dom DeLuise,1933; Duplicate star
,Judi Dench,1934; Duplicate star
,Catherine Deneuve,1943; Duplicate star
,Bruce Dern,1936; Duplicate star
,Laura Dern,1967; Duplicate star
,Marlene Dietrich,1901; Duplicate star
,Phyllis Diller,1917; Duplicate star
,Matt Dillon,1964; Duplicate star
,Kirk Douglas,1916; Duplicate star
,Brad Dourif,1950; Duplicate star
,James Drury,1934; Duplicate star
,Faye Dunaway,1941; Duplicate star
,Griffin Dunne,1955; Duplicate star
,Robert Duvall,1931; Duplicate star
,Clint Eastwood,1930; Duplicate star
,Blake Edwards,1922; Duplicate star
,Lisa Eichhorn,1952; Duplicate star
,Hector Elizondo,1936; Duplicate star
,Sam Elliott,1944; Duplicate star
,Michael Elphick,1946; Duplicate star
,Peter Falk,1927; Duplicate star
,Mia Farrow,1945; Duplicate star
,Sherilyn Fenn,1965; Duplicate star
,Sally Field,1946; Duplicate star
,Frank Finlay,1926; Duplicate star
,Albert Finney,1936; Duplicate star
,Frances Fisher,1952; Duplicate star
,Bridget Fonda,1964; Duplicate star
,Jodie Foster,1962; Duplicate star
,John Foster,; Duplicate star
,James Fox,1939; Duplicate star
,Michael J. Fox,1961; Duplicate star
